id,condition,trial,gamblep,gamblex,value,gambleid,gambletype,samplesize,confidence,samplesizecat
s20,experience,87,0.8571429,4.7,3.5,6,p-bet,21,5,m
s20,experience,88,0.8333333,2.4,2,5,p-bet,36,5,l
s20,experience,90,0.1428571,28,6.5,3,$-bet,42,5,l
s20,description,1,0.143,28,5,3,$-bet,,5,--
s20,description,2,0.8,4,3.8,4,p-bet,,5,--
s20,description,3,0.833,2.4,2.2,5,p-bet,,5,--
s20,description,4,0.857,4.7,4,6,p-bet,,5,--
s20,description,5,0.143,28,5,3,$-bet,,5,--
s20,description,6,0.8,4,3.5,4,p-bet,,5,--
s20,description,7,0.833,2.4,2.2,5,p-bet,,5,--
s20,description,8,0.167,12,3,2,$-bet,,5,--
s20,description,9,0.8,4,3.5,4,p-bet,,5,--
s20,description,10,0.143,28,6,3,$-bet,,5,--
s20,description,11,0.2,16,4,1,$-bet,,5,--
s20,description,12,0.857,4.7,4,6,p-bet,,5,--
s20,description,13,0.167,12,3.5,2,$-bet,,5,--
s20,description,14,0.2,16,5,1,$-bet,,5,--
s20,description,15,0.167,12,4,2,$-bet,,5,--
s20,description,16,0.2,16,4,1,$-bet,,5,--
s20,description,17,0.833,2.4,2.2,5,p-bet,,5,--
s20,description,18,0.857,4.7,4.2,6,p-bet,,5,--
s21,experience,2,0.16666667,12,3.5,2,$-bet,12,3,s
s21,experience,3,0.2,16,4,1,$-bet,5,4,xs
s21,experience,4,0.16666667,12,3,2,$-bet,6,3,xs
s21,experience,5,0.16666667,12,2,2,$-bet,36,4,l
s21,experience,6,0.8571429,4.7,3,6,p-bet,42,5,l
s21,experience,7,0.8571429,4.7,3.3,6,p-bet,7,4,xs
s21,experience,8,0.1428571,28,5,3,$-bet,42,4,l
s21,experience,9,0.8333333,2.4,2.2,5,p-bet,36,5,l
s21,experience,10,0.16666667,12,2,2,$-bet,36,3,l
s21,experience,12,0.8571429,4.7,4.3,6,p-bet,21,4,m
s21,experience,13,0.1428571,28,5,3,$-bet,7,4,xs
s21,experience,15,0.8571429,4.7,2.5,6,p-bet,14,5,s
s21,experience,19,0.8333333,2.4,2.1,5,p-bet,18,5,m
s21,experience,20,0.1428571,28,4,3,$-bet,14,3,s
s21,experience,21,0.2,16,2,1,$-bet,15,4,m
s21,experience,23,0.16666667,12,2,2,$-bet,18,3,m
s21,experience,25,0.8333333,2.4,1.8,5,p-bet,12,4,s
s21,experience,26,0.8,4,1.3,4,p-bet,5,4,xs
s21,experience,27,0.8,4,3,4,p-bet,15,5,m
