id,condition,trial,gambleid,gambletype,gamblep,gamblex,samplesizecat,samplesize,value,confidence
s76,experience,72,5,p-bet,0.8333333,2.4,m,18,2,4
s76,experience,73,2,$-bet,0.16666667,12,xs,6,4,5
s76,experience,74,2,$-bet,0.16666667,12,xs,6,7,5
s76,experience,75,4,p-bet,0.8,4,l,30,3,5
s76,experience,76,5,p-bet,0.8333333,2.4,xs,6,1.2,4
s76,experience,77,4,p-bet,0.8,4,m,15,3,4
s76,experience,79,5,p-bet,0.8333333,2.4,l,36,2,3
s76,experience,80,4,p-bet,0.8,4,l,30,2.1,4
s76,experience,81,1,$-bet,0.2,16,s,10,5,5
s76,experience,82,4,p-bet,0.8,4,l,30,3,4
s76,experience,83,1,$-bet,0.2,16,l,30,4,4
s76,experience,84,1,$-bet,0.2,16,xs,5,2,3
s76,experience,85,5,p-bet,0.8333333,2.4,m,18,2,3
s76,experience,86,4,p-bet,0.8,4,m,15,3,3
s76,experience,88,3,$-bet,0.1428571,28,m,21,6,4
s76,experience,89,2,$-bet,0.16666667,12,s,12,4,4
s76,experience,90,1,$-bet,0.2,16,xs,5,4,4
s76,description,1,6,p-bet,0.857,4.7,--,,2.5,3
s76,description,2,5,p-bet,0.833,2.4,--,,0.8,5
s76,description,3,3,$-bet,0.143,28,--,,21.5,5
s76,description,4,4,p-bet,0.8,4,--,,1.2,5
s76,description,5,1,$-bet,0.2,16,--,,4,5
s76,description,6,3,$-bet,0.143,28,--,,22.5,5
s76,description,7,2,$-bet,0.167,12,--,,4.2,4
s76,description,8,1,$-bet,0.2,16,--,,4.3,5
s76,description,9,6,p-bet,0.857,4.7,--,,1.5,4
s76,description,10,4,p-bet,0.8,4,--,,3,5
s76,description,11,5,p-bet,0.833,2.4,--,,2,4
s76,description,12,4,p-bet,0.8,4,--,,3.2,4
s76,description,13,6,p-bet,0.857,4.7,--,,4.1,4
s76,description,14,3,$-bet,0.143,28,--,,8.5,5
s76,description,15,2,$-bet,0.167,12,--,,3.2,4
s76,description,16,2,$-bet,0.167,12,--,,3.2,3
s76,description,17,5,p-bet,0.833,2.4,--,,2,4
s76,description,18,1,$-bet,0.2,16,--,,4.2,5
s77,experience,1,4,p-bet,0.8,4,s,10,3,4
s77,experience,2,2,$-bet,0.16666667,12,m,18,11,5
s77,experience,4,5,p-bet,0.8333333,2.4,s,12,2.4,6
s77,experience,6,6,p-bet,0.8571429,4.7,l,42,4.5,6
s77,experience,7,1,$-bet,0.2,16,l,30,10,5
s77,experience,9,3,$-bet,0.1428571,28,l,42,10,2
s77,experience,10,6,p-bet,0.8571429,4.7,xs,7,4.5,5
s77,experience,12,4,p-bet,0.8,4,s,10,3,5
s77,experience,14,5,p-bet,0.8333333,2.4,l,36,2.4,5
s77,experience,15,3,$-bet,0.1428571,28,m,21,7,3
s77,experience,16,4,p-bet,0.8,4,xs,5,0.4,2
s77,experience,17,5,p-bet,0.8333333,2.4,m,18,2.4,3
s77,experience,19,5,p-bet,0.8333333,2.4,s,12,2.2,4
s77,experience,20,6,p-bet,0.8571429,4.7,s,14,4.5,3
s77,experience,21,5,p-bet,0.8333333,2.4,xs,6,2.4,5
s77,experience,23,2,$-bet,0.16666667,12,l,36,1.2,3
s77,experience,24,3,$-bet,0.1428571,28,xs,7,3.1,3
s77,experience,25,6,p-bet,0.8571429,4.7,m,21,4.7,3
s77,experience,28,3,$-bet,0.1428571,28,m,21,6,4
s77,experience,29,2,$-bet,0.16666667,12,s,12,3,4
s77,experience,31,1,$-bet,0.2,16,xs,5,5.5,5
s77,experience,32,6,p-bet,0.8571429,4.7,xs,7,4.5,5
s77,experience,33,1,$-bet,0.2,16,xs,5,5,5
s77,experience,34,1,$-bet,0.2,16,m,15,5,4
s77,experience,35,3,$-bet,0.1428571,28,s,14,5,5
s77,experience,36,4,p-bet,0.8,4,m,15,3.5,5
s77,experience,37,2,$-bet,0.16666667,12,m,18,4,5
s77,experience,38,6,p-bet,0.8571429,4.7,m,21,4.5,6
s77,experience,39,1,$-bet,0.2,16,s,10,3,6
s77,experience,40,4,p-bet,0.8,4,s,10,4,6
s77,experience,41,1,$-bet,0.2,16,l,30,3,6
s77,experience,42,2,$-bet,0.16666667,12,l,36,4,5
s77,experience,43,1,$-bet,0.2,16,m,15,4,5
s77,experience,44,4,p-bet,0.8,4,m,15,4,5
s77,experience,45,5,p-bet,0.8333333,2.4,xs,6,2,5
s77,experience,46,2,$-bet,0.16666667,12,xs,6,3,4
s77,experience,49,2,$-bet,0.16666667,12,m,18,3.4,5
s77,experience,50,3,$-bet,0.1428571,28,s,14,2.9,5
s77,experience,51,5,p-bet,0.8333333,2.4,m,18,2.3,5
s77,experience,52,4,p-bet,0.8,4,l,30,3,5
s77,experience,53,6,p-bet,0.8571429,4.7,xs,7,4.5,5
s77,experience,54,1,$-bet,0.2,16,m,15,3.2,5
s77,experience,55,6,p-bet,0.8571429,4.7,m,21,4.5,5
s77,experience,56,1,$-bet,0.2,16,xs,5,3,5
s77,experience,58,2,$-bet,0.16666667,12,xs,6,2,5
s77,experience,59,3,$-bet,0.1428571,28,xs,7,4,5
s77,experience,60,4,p-bet,0.8,4,xs,5,3.5,5
s77,experience,61,4,p-bet,0.8,4,m,15,3,5
s77,experience,62,6,p-bet,0.8571429,4.7,s,14,4.5,6
s77,experience,63,1,$-bet,0.2,16,s,10,2.9,3
s77,experience,64,5,p-bet,0.8333333,2.4,xs,6,2,5
s77,experience,65,5,p-bet,0.8333333,2.4,l,36,2.3,5
s77,experience,67,6,p-bet,0.8571429,4.7,l,42,4.5,5
s77,experience,68,4,p-bet,0.8,4,xs,5,3.9,5
s77,experience,69,6,p-bet,0.8571429,4.7,s,14,4.5,5
s77,experience,70,1,$-bet,0.2,16,s,10,4,5
